Sentence_id,Sentence,Primary category,Seconday category,Clinical urgency,Notes
1,"The patient is a 2-month-old female with a 9-day history of illness. Per mom's report, the illness started 9 days ago with a dry cough. ",Symptom_Report,Respiratory,Monitor,Infant under 3 months with 9-day symptom history warrants close monitoring
2, the patient was given Xopenex 2 puffs every 4 to 6 hours for home regimen,Treatment_Plan,Respiratory,Routine,Outpatient bronchodilator regimen; standard asthma/wheeze management
3,A chest x-ray was obtained and was noted to be normal. ,Test_Result,Respiratory,Routine,Normal chest X-ray; no actionable finding
4,The patient presented to the emergency room last evening with approximately 7- to 8-day history of abdominal pain,Symptom_Report,Gastrointestinal,Monitor,Multi-day abdominal pain in ED presentation suggests investigation needed
5,"She had a CT scan at that time and she was told it was ""normal.""",Test_Result,Gastrointestinal,Routine,Normal CT scan result; no acute finding detected
6,She was given oral antibiotics of Cipro and Flagyl.,Treatment_Plan,Gastrointestinal,Routine,Oral antibiotic combination commonly used for gastrointestinal infection
7,The patient presented with symptoms of chest pain,Symptom_Report,Cardiovascular,Urgent,Chest pain is a red flag symptom requiring immediate cardiac workup
8,"This 5-year-old male presents to Children's Hospital Emergency Department by the mother with ""have asthma.""",Patient_History,Respiratory,Routine,Known asthma diagnosis reported by mother on presentation
9,He has had some vomiting and abdominal pain,Symptom_Report,Gastrointestinal,Monitor,Two gastrointestinal symptoms together suggest acute abdominal cause
10,The lung perfusion scan  demonstrated 47% flow to the left lung and 53% flow to the right lung,Test_Result,Respiratory,Monitor,Quantified perfusion result; slight asymmetry between lungs warrants review
11,This is a 27-year-old female who presents with a couple of days history of some dental pain.,Symptom_Report,General,Routine,Dental pain is localised and non-systemic; routine urgency unless signs of spread
12,She has had increasing swelling and pain to the left lower mandible area today.,Symptom_Report,General,Monitor,Progressive swelling of the mandible raises concern for spreading dental infection
13,The patient complains of neck pain.,Symptom_Report,Musculoskeletal,Routine,Neck pain as isolated complaint; no neurological red flags mentioned
14,The patient is diabetic and has a prior history of coronary artery disease.,Patient_History,Cardiovascular,Monitor,Two chronic diagnoses documented; cardiovascular history increases overall risk
15,The patient presents today stating that his chest pain started yesterday evening,Symptom_Report,Cardiovascular,Urgent,New onset chest pain since previous evening; cardiac cause must be excluded
16, He describes the pain as a sharp and heavy pain which radiates to his neck & left arm.,Symptom_Report,Cardiovascular,Urgent,Pain radiating to neck and left arm is a classic cardiac referral pattern
17,The patient took 3 nitroglycerin tablets sublingually over the past 1 hour,Treatment_Plan,Cardiovascular,Urgent,Sublingual nitroglycerine use indicates active chest pain episode in progress
18,The patient is a 45-year-old male complaining of abdominal pain. ,Symptom_Report,Gastrointestinal,Monitor,Abdominal pain as chief complaint; age and gender noted for clinical context
19,"Ms. ABCD is a 69-year-old lady, who was admitted to the hospital with chest pain and respiratory insufficiency.",Symptom_Report,Cardiovascular,Urgent,Two serious presenting complaints on admission; immediate assessment required
20,She has chronic lung disease with bronchospastic angina.,Patient_History,Respiratory,Monitor,Chronic lung disease with bronchospastic component; ongoing monitoring expected
21,we have started her on Coreg 6.25 mg b.i.d.,Treatment_Plan,Cardiovascular,Routine,Beta-blocker initiated; starting dose suggests new prescription or titration
22,"Patient developed nausea and right upper quadrant pain, which apparently wrapped around toward his right side and back. ",Symptom_Report,Gastrointestinal,Monitor,Right upper quadrant pain with nausea suggests possible hepatobiliary pathology
23,"Cultures taken from the wound on 06/25/2008, were reported positive for methicillin-sensitive Staphylococcus aureus (MSSA).",Test_Result,General,Urgent,Positive wound culture confirms active infection requiring targeted treatment
24,Patient started cyclosporine and prednisone on 03/30/10.,Treatment_Plan,Renal,Routine,Immunosuppressant combination typical of post-transplant or autoimmune protocol
25,She was admitted to the hospital from 07/11/10 to 07/14/10 with acute kidney injury.,Diagnosis_Statement,Renal,Urgent,Acute kidney injury is a serious confirmed diagnosis requiring immediate management
